sku,product_name,product_price,product_img,product_description
#06353656,Xiaomi MI A1 5.5 inch 4G Smartphone (4GB+64GB 12MP Dual Camera Snapdragon 625 3080mAh Power By Google)  ,"
				Rs13,253
			",https://li4.rightinthebox.com/images/384x384/201711/xefwgq1510137474167.jpg,"Product type:, 4G Smartphone,4G:, FDD(B20 800MHz), FDD(B8 900MHz), FDD(B7  2600MHz), FDD(B5 850MHz), FDD(B3 1800MHz), FDD(B1 2100MHz),Hardware Platform:, Qualcomm Snapdragon 625,CPU Type:, Octa Core,RAM:, 4GB,ROM:, 64GB,Fingerprint:, Yes,Screen Resolution:, 1920*1080,Screen Size:, 5.5,Back Camera:, 12 MP"
#06418875,"LeTV LeEco Coolpad Cool1 5.5 "" 4G Smartphone Global Version(3GB+32GB 13MP+13MP Snapdragon 652 4060mAh)  ","
				Rs7,289
			",https://li2.rightinthebox.com/images/384x384/201712/qcdkwo1512369478761.jpg,"Hardware Platform:, Qualcomm Snapdragon 652,RAM:, 3GB,ROM:, 32GB,Product type:, 4G Smartphone,Screen Resolution:, 1920*1080,Screen Size:, 5.5"
#06159176,Xiaomi REDMI NOTE 5A 5.5 inch 4G Smartphone Global Version (3GB+32GB 13MP+16MP Octa Core 3080mAh)  ,"
				Rs7,952
			",https://li5.rightinthebox.com/images/384x384/201708/oebrib1503475945001.jpg,"Product type:, 4G Smartphone,4G:, TDD(B40 2300MHz), FDD(B1 2100MHz), TDD(B39 1900MHz), TDD(B38 2600MHz), FDD(B20 800MHz), FDD(B8 900MHz), FDD(B7  2600MHz), FDD(B5 850MHz), TDD(B41 2500MHz), FDD(B3 1800MHz),Hardware Platform:, Qualcomm Snapdragon 435,CPU Type:, Octa Core,RAM:, 3GB,ROM:, 32GB,Fingerprint:, Yes,Screen Resolution:, 1280x720,Screen Size:, 5.5,Back Camera:, 16MP, 13 MP"
#05636135,"Xiaomi Redmi 4X 5.0"" 4G Smartphone Global Version(3GB+32GB 13MP Snapdragon 435 4100.0mAh)  ","
				Rs8,482
			",https://li6.rightinthebox.com/images/384x384/201703/mzpdwg1490325906424.jpg,"Hardware Platform:, Qualcomm Snapdragon 435,RAM:, 3GB,Back Camera:, 13 MP,ROM:, 32GB,Product type:, 4G Smartphone,Screen Resolution:, 1280x720,Screen Size:, 5 inch"
#06418876,"LeTV LeEco Coolpad Cool1 5.5 "" 4G Smartphone Global Version(4GB+32GB 13MP+13MP Snapdragon 652 4060mAh)  ","
				Rs7,687
			",https://li2.rightinthebox.com/images/384x384/201712/qcdkwo1512369478761.jpg,"Hardware Platform:, Qualcomm Snapdragon 652,RAM:, 4GB,ROM:, 32GB,Product type:, 4G Smartphone,Screen Resolution:, 1920*1080,Screen Size:, 5.5"
#06214630,Xiaomi Mi NOTE 3 5.5 inch 4G Smartphone (6GB+64GB 12MP Dual Camera Snapdragon 660 3500mAh)  ,"
				Rs19,615
			",https://li1.rightinthebox.com/images/384x384/201709/infrpr1505370690168.jpg,"Product type:, 4G Smartphone,4G:, FDD(B7  2600MHz), FDD(B5 850MHz), FDD(B3 1800MHz), TDD(B41 2500MHz), FDD(B1 2100MHz), TDD(B40 2300MHz), TDD(B39 1900MHz), TDD(B38 2600MHz), FDD(B8 900MHz),CPU Type:, Octa Core,RAM:, 6GB,ROM:, 64GB,Fingerprint:, Yes,Screen Resolution:, 1920*1080,Screen Size:, 5.5,Back Camera:, 12 MP,Camera Function:, Dual Camera"
#05435020,LeTV LeEco Le Max2 X820 5.7 inch 4G Smartphone (4GB+32GB 21MP+8MP Snapdragon 820 3100mAh)  ,"
				Rs9,940
			",https://li3.rightinthebox.com/images/384x384/201611/ioledv1479780924483.jpg,"Product type:, 4G Smartphone,4G:, FDD(B4 1700MHz), TDD(B40 2300MHz), FDD(B3 1800MHz), TDD(B39 1900MHz), TDD(B38 2600MHz), FDD(B2 1900MHz), FDD(B20 800MHz), FDD(B1 2100MHz), FDD(B12/13/17 700MHz), FDD(B8 900MHz), FDD(B7  2600MHz), FDD(B5 850MHz), TDD(B41 2500MHz),Hardware Platform:, Qualcomm Snapdragon 820,CPU Type:, Quad Core,RAM:, 4GB,ROM:, 32GB,Fingerprint:, Yes,Screen Resolution:, 2560x1440,Screen Size:, 5.7,Back Camera:, 21 MP"
#06430171,"Xiaomi Redmi 5 Plus 5.99 "" 4G Smartphone Global Version(3GB+32GB 12MP Snapdragon 625 18:9 Screen 4000mAh)  ","
				Rs10,934
			",https://li6.rightinthebox.com/images/384x384/201712/wlnlas1512955930803.jpg,"Hardware Platform:, Qualcomm Snapdragon 625,RAM:, 3GB,Back Camera:, 12 MP,ROM:, 32GB,Product type:, 4G Smartphone"
#05911300,DOOGEE DOOGEE MIX 5.5 inch 4G Smartphone (6GB + 64GB 16 MP + 8 MP Octa Core 3380mAh)  ,"
				Rs12,591
			",https://li4.rightinthebox.com/images/384x384/201706/xeyner1496799550739.jpg,"RAM:, 6GB,ROM:, 64GB,Product type:, 4G Smartphone,Screen Resolution:, 1280x720,Screen Size:, 5.5"
#05931551,OUKITEL oukitel U22 5.5 inch 3G Smartphone (2GB + 16GB 13 MP Quad Core 2700mAh)  ,"
				Rs4,638
			",https://li2.rightinthebox.com/images/384x384/201706/ptvhgo1497612853172.jpg,"Product type:, 3G Smartphone,Hardware Platform:, MediaTek MT6580,CPU Type:, Quad Core,RAM:, 2GB,ROM:, 16GB,Fingerprint:, Yes,Screen Resolution:, 1280x720,Screen Size:, 5.5,Back Camera:, 13 MP,Camera Function:, Dual Camera"
