sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visiblity,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_main_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty-inc,enable_qty_increments,is_decimal_divided,website_id,defered_stock_update,use_config_defered_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,product_img
#00246653,,,,,,Elaine Two Pieces Set Web Edition Vacuum Bag Without Pump  ,,,,,,"
				Rs6,620
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li8.rightinthebox.com/images/384x384/201404/nxdgkh1397043660770.jpg
#00305515,,,,,,"Elaine Soft Velor Antislip Floor Mats, Rectangle130*190cm, Red   ",,,,,,"
				Rs9,410
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li1.rightinthebox.com/images/384x384/201308/vcddtw1377226008812.jpg
#00333684,,,,,,"ELAINE Cotton Rug Patterned with Plaid (50*80cm,Coffee)  ",,,,,,"
				Rs2,518
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li7.rightinthebox.com/images/384x384/201212/ncadee1355308116570.jpg
#00237078,,,,,,"Antique Shower System Rain Shower Handshower Included Ceramic Valve Three Holes Single Handle Three Holes Antique Brass, Shower Faucet  ","Features:, Rain Shower, Handshower Included,Faucet Type:, Shower Faucet,Installation Type:, Shower System,Installation Holes and Handles:, Single Handle Three Holes, Three Holes,Handshower Material:, Brass,Faucet Body Material:, Brass,Handshower Included:, Yes",,,,,"
				Rs10,337
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li2.rightinthebox.com/images/384x384/201801/xwix1517379038589.jpg
#06386232,,,,,,ONEPLUS 5T 6.0 inch 4G Smartphone (6G+64GB 20MP+16MP Dual Camera Snapdragon 835 3300mAh)  ,"Hardware Platform:, Qualcomm Snapdragon 835,Back Camera:, 20 MP, 16MP,ROM:, 64GB,Product type:, 4G Smartphone,Screen Size:, 6.0",,,,,"
				Rs31,809
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li7.rightinthebox.com/images/384x384/201711/gtpuxr1510996426533.jpg
#05036016,,,,,,A-Line Fit & Flare Illusion Neckline Knee Length Lace Tulle Cocktail Party Homecoming Prom Dress with Lace Sash / Ribbon by ARMK  ,"Style:, Lace Up, - ,Neckline:, Illusion Neckline, - ,Embellishment:, Lace, - ",,,,,"
				Rs5,301
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#00400233,,,,,,Antique European Style Fruit Pattern Rotatable Wooden Storage Box  ,,,,,,"
				Rs4,439
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li3.rightinthebox.com/images/384x384/201212/iilpkf1356404777856.jpg
#05567045,,,,,,A-Line Off-the-shoulder Floor Length Tulle Formal Evening Dress with Beading by Embroidered Bridal  ,,,,,,"
				Rs4,771
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#02774156,,,,,,"Duvet Cover Sets Floral 4 Piece Poly/Cotton Reactive Print Poly/Cotton 4pcs (1 Duvet Cover, 1 Flat Sheet, 2 Shams)  ","Material:, Poly/Cotton,Crafts:, Reactive Print,Thread Count:, 250 Tc,Composition:, 4pcs (1 Duvet Cover, 1 Flat Sheet, 2 Shams)",,,,,"
				Rs2,862
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li6.rightinthebox.com/images/384x384/201510/tqfe1445584847835.jpg
#06088029,,,,,,"Rod Pocket Grommet Top Double Pleat Pencil Pleat Curtain Glam , Yarn Dyed Solid Living Room Material Blackout Curtains Drapes Home  ","Shop By Room:, Living Room,Curtain Type:, Blackout Curtains Drapes",,,,,"
				Rs3,445
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li7.rightinthebox.com/images/384x384/201708/kxkijl1501815470474.jpg
