sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visiblity,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_main_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty-inc,enable_qty_increments,is_decimal_divided,website_id,defered_stock_update,use_config_defered_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
#04932214,,,,,,Nuckily Sports Gloves Bike Gloves / Cycling Gloves Touch Gloves Waterproof Reflective Windproof Ultraviolet Resistant Moisture  ,,,,,,"
				Rs895
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05957899,,,,,,Figure Skating Dress Women's Girls' Ice Skating Dress Black Spandex Lace Rhinestone High Elasticity Performance Skating Wear Handmade  ,"Function:, Handmade,Fabric:, Spandex, Lace",,,,,"
				Rs6,632
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#02164731,,,,,,Cycling Gloves Full Finger Warm Soft Keep Warm Full Finger Bike Bicycle Mittens Windproof Thermal Winter Sports Gloves  ,,,,,,"
				Rs464
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05189520,,,,,,GQY® Women's Ski Jacket with Pants Waterproof Thermal / Warm Windproof Wearable Ski / Snowboard Winter Sports Polyester  ,"Function:, Thermal / Warm, - , Windproof, - , Waterproof, - ",,,,,"
				Rs6,632
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03115509,,,,,,Bike Lights Wheel Lights Valve Cap Flashing Lights LED - Cycling Waterproof 50 Lumens Battery Cycling/Bike  ,,,,,,"
				Rs132
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05623143,,,,,,Diving Mask Swimming Goggles Snorkel Mask Waterproof Leak-Proof Full Face Mask 180 Degree View - Children's Diving Silicone  ,"Gender:, Children's,Features:, Full Face Mask",,,,,"
				Rs2,321
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#02726853,,,,,,"1 pcs Hard Bait Minnow Fishing Lures Minnow Hard Bait g / Ounce, 100 mm / 4"" inch, Plastic Bait Casting  ","Category:, Minnow, Hard Bait,Fishing Method:, Bait Casting",,,,,"
				Rs331
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05685043,,,,,,Chest Shoulder Strap Mount Harness Adjustable Convenient For Action Camera Gopro 5 Gopro 4 Gopro 3 Gopro 2 Gopro 3+ Gopro 1 SJ4000 SJ5000  ,"Compatible Camera:, Gopro 4, Gopro 3+, Gopro 3, Gopro 2, Gopro 1, Gopro 5",,,,,"
				Rs397
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06355270,,,,,,Phibee Kid's Ski Jacket Warm Waterproof Windproof Ski / Snowboard Winter Sports Cotton 100%Polyester  ,"Function:, Windproof, - , Waterproof, - ",,,,,"
				Rs2,652
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#00519885,,,,,,Figure Skating Dress Women's Girls' Ice Skating Dress Spandex Rhinestone Sequined High Elasticity Performance Practise Skating Wear  ,"Function:, Handmade,Fabric:, Spandex",,,,,"
				Rs9,948
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#02146619,,,,,,ILPALADINO Cycling Jersey Women's Long Sleeves Bike Jersey Top Bike Wear Quick Dry Breathable Floral / Botanical Cycling / Bike Black  ,"Function:, Breathable, - , Quick Dry, - ",,,,,"
				Rs1,326
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#02739929,,,,,,JESOCYCLING Cycling Jersey Women's Short Sleeves Bike Jersey Top Bike Wear Quick Dry Breathable Back Pocket Classic Slim Floral /  ,"Function:, Quick Dry, - , Breathable, - ",,,,,"
				Rs1,326
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05872506,,,,,,"12 pcs Soft Bait Fishing Lures Soft Bait Shad g / Ounce mm / 2-3/4"" inch, Soft Plastic Sea Fishing Spinning Jigging Fishing Freshwater  ","Category:, Soft Bait,Fishing Method:, General Fishing, Lure Fishing, Bass Fishing, Freshwater Fishing, Jigging Fishing, Spinning, Sea Fishing",,,,,"
				Rs132
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06420285,,,,,,Men's Hiking Cargo Pants Outdoor Windproof Wearable Winter Sports Winter Pants / Trousers Multisport  ,"Season:, Winter,Function:, Windproof, - ",,,,,"
				Rs1,658
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05853913,,,,,,"10 pcs Soft Bait Fishing Lures Soft Bait g / Ounce mm / 1-5/8"" inch, Silicon Carbon Steel Sea Fishing Fly Fishing Bait Casting Ice  ","Category:, Soft Bait,Fishing Method:, Bass Fishing, Fly Fishing, Carp Fishing, Sea Fishing, Freshwater Fishing, Jigging Fishing, Trolling & Boat Fishing, Spinning, General Fishing, Ice Fishing, Lure Fishing, Bait Casting",,,,,"
				Rs397
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03621700,,,,,,Microphone For Action Camera Gopro 5 Gopro 4 Silver Gopro 4 Black Gopro 4 Gopro 3 Gopro 3+ Gopro 2 Gopro 1 Sports DV Gopro 3/2/1 ABS  ,"Compatible Camera:, Gopro 4, Gopro 3/2/1, Gopro 3+, Gopro 3, Gopro 2, Gopro 1",,,,,"
				Rs530
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
