sku,product_name
#06353656,Xiaomi MI A1 5.5 inch 4G Smartphone (4GB+64GB 12MP Dual Camera Snapdragon 625 3080mAh Power By Google)  
#06418875,"LeTV LeEco Coolpad Cool1 5.5 "" 4G Smartphone Global Version(3GB+32GB 13MP+13MP Snapdragon 652 4060mAh)  "
#06418876,"LeTV LeEco Coolpad Cool1 5.5 "" 4G Smartphone Global Version(4GB+32GB 13MP+13MP Snapdragon 652 4060mAh)  "
#06214630,Xiaomi Mi NOTE 3 5.5 inch 4G Smartphone (6GB+64GB 12MP Dual Camera Snapdragon 660 3500mAh)  
#06159176,Xiaomi REDMI NOTE 5A 5.5 inch 4G Smartphone Global Version (3GB+32GB 13MP+16MP Octa Core 3080mAh)  
#05435020,LeTV LeEco Le Max2 X820 5.7 inch 4G Smartphone (4GB+32GB 21MP+8MP Snapdragon 820 3100mAh)  
#05636135,"Xiaomi Redmi 4X 5.0"" 4G Smartphone Global Version(3GB+32GB 13MP Snapdragon 435 4100.0mAh)  "
#06430171,"Xiaomi Redmi 5 Plus 5.99 "" 4G Smartphone Global Version(3GB+32GB 12MP Snapdragon 625 18:9 Screen 4000mAh)  "
#06352922,E&L W5 Mobile Phone Waterproof Shockproof IP68 Android 6.0 Quad Core Dual SIM  
#05714088,AGM AGM X1 5.5 inch 4G Smartphone (4GB + 64GB 13 MP Octa Core 5400)  
#06409524,Vernee mix2 6.0 inch 4G Smartphone (6GB + 64G SSD 5 MP 13MP Octa Core 4200)  
#05931551,OUKITEL oukitel U22 5.5 inch 3G Smartphone (2GB + 16GB 13 MP Quad Core 2700mAh)  
#06096643,vkworld Z3310 2.4 inch Ultra-long Standby Time (32MB  32MB 2MP battery 1450mAh) Strong LED Light  
#06316556,JESY JESY J9S 5.5 inch 4G Smartphone (4GB + 64GB 16MP Octa Core 6150)  
#06348024,Servo H8 ≤3 inch Cell Phone (<256MB + Other NA Other 3500mAh)  
#06451485,AGM A8 5.0 inch 4G Smartphone (4GB  64GB 13MP Quad Core 4050)  
#05777016,OUKITEL OUKITEL U11 PLUS 5.7 inch 4G Smartphone (4GB + 64GB 16MP Octa Core 3700mAh)  
#06352930,# ≤3 inch Cell Phone (<256MB + Other NA Other #)  
#06495342,Vernee Active 5.5 inch 4G Smartphone (6GB  128GB 16MP Octa Core 4200)  
#06409523,UHANS UHANS MAX 2 6.4 inch Cell Phone (4GB + 64GB 2 MP 13 MP Octa Core 4300)  
#06297649,Huawei MATE 10 5.9 inch 4G Smartphone (4GB + 64GB 20 MP 12 MP Octa Core 4000mAh)  
#06515749,Huawei Nova 5inch  4G Smartphone (4GB  64GB 12 MP Octa Core 3020mAh)  
#06092520,Asus ZenFone Pegasus 4A 5.5 inch 4G Smartphone (3GB + 32GB 8 MP 13 MP Octa Core 5000mAh)  
#06049639,ASUS Zenfone Zoom ZX551ML 4G+128G 5.5 inch 4G Smartphone (4GB + 128GB 1.3 MP Quad Core 3000mAh)  
#06198619,E&L S50 Waterproof Shockproof IP68 5 Inch HD Octa Core 3GB Dual Sim Android 7.0  
#06143116,Meku k999 ≤3 inch Cell Phone (64MB + Other 0.3 MP Other 8800毫安)  
#06049643,Huadoo H1 IP68 waterproof mobile phone FM flashlight MP3 support swimming shockproof dustproof outdoor rugged cell phone P013  
#06343124,LEAGOO KIICAA POWER 5.0 inch 3G Smartphone (2GB + 16GB 5 MP 8 MP Quad Core 4000mAh)  
#06378006,Aiek X8 ≤3 inch Cell Phone (<256MB + Other NA Other 500mAh)  
#06215565,Oeina XP1 1.8 inch Cell Phone (IP68 Waterproof Bluetooth FlashLight 2500mAh)  
#05898823,E&L S200 2.4 Inch Rugged Ｍobile Phone Military Standard Waterproof Feature Phone Dustproof Shockproof IP68  
#05986547,Kenxinda V9 6.0 inch 4G Smartphone (2GB + 16GB 8 MP Quad Core 3500)  
