sku,product_name,product_price,product_img,product_description
#01466285,Toilet Brush Holder Contemporary Stainless Steel Ceramic Stainless Steel  ,"
				Rs3,445
			",https://li2.rightinthebox.com/images/384x384/201410/xupu1412920703023.jpg,
#06352927,LeTV Letv Le Pro 3 (X651 for 32GB version) 5.5 inch Cell Phone (4GB + 32GB 13 MP Deca Core 4000mAh)  ,"
				Rs7,620
			",https://li3.rightinthebox.com/images/384x384/201711/cdrjjt1510134239625.jpg,"4G:, FDD(B7  2600MHz), FDD(B3 1800MHz), FDD(B1 2100MHz),CPU Type:, Deca Core,RAM:, 4GB,ROM:, 32GB,Fingerprint:, Yes,Screen Resolution:, 1920*1080,Screen Size:, 5.5,Back Camera:, 13 MP,Camera Function:, Dual Camera"
#02774156,"Duvet Cover Sets Floral 4 Piece Poly/Cotton Reactive Print Poly/Cotton 4pcs (1 Duvet Cover, 1 Flat Sheet, 2 Shams)  ","
				Rs2,862
			",https://li6.rightinthebox.com/images/384x384/201510/tqfe1445584847835.jpg,"Material:, Poly/Cotton,Crafts:, Reactive Print,Thread Count:, 250 Tc,Composition:, 4pcs (1 Duvet Cover, 1 Flat Sheet, 2 Shams)"
#05435020,LeTV LeEco Le Max2 X820 5.7 inch 4G Smartphone (4GB+32GB 21MP+8MP Snapdragon 820 3100mAh)  ,"
				Rs9,940
			",https://li3.rightinthebox.com/images/384x384/201611/ioledv1479780924483.jpg,"Product type:, 4G Smartphone,4G:, TDD(B38 2600MHz), FDD(B2 1900MHz), FDD(B20 800MHz), FDD(B1 2100MHz), FDD(B12/13/17 700MHz), FDD(B8 900MHz), FDD(B7  2600MHz), FDD(B5 850MHz), TDD(B41 2500MHz), FDD(B4 1700MHz), TDD(B40 2300MHz), TDD(B39 1900MHz), FDD(B3 1800MHz),Hardware Platform:, Qualcomm Snapdragon 820,CPU Type:, Quad Core,RAM:, 4GB,ROM:, 32GB,Fingerprint:, Yes,Screen Resolution:, 2560x1440,Screen Size:, 5.7,Back Camera:, 21 MP"
#02422224,Betterhome Duvet Cover Duvet Cover Set 3Dactivity Dyeing Painting Fastness Thicken Warm 4Pcs  ,"
				Rs3,578
			",https://li1.rightinthebox.com/images/384x384/201711/vgsh1511337153934.jpg,"Crafts:, Reactive Print,Thread Count:, 400 Tc,Composition:, 4pcs (1 Duvet Cover, 1 Flat Sheet, 2 Shams)"
#06386232,ONEPLUS 5T 6.0 inch 4G Smartphone (6G+64GB 20MP+16MP Dual Camera Snapdragon 835 3300mAh)  ,"
				Rs31,809
			",https://li7.rightinthebox.com/images/384x384/201711/gtpuxr1510996426533.jpg,"Hardware Platform:, Qualcomm Snapdragon 835,Back Camera:, 16MP, 20 MP,ROM:, 64GB,Product type:, 4G Smartphone,Screen Size:, 6.0"
#06278670,Modern/Comtemporary Artistic Nature Inspired LED Chic & Modern Country Traditional/Classic Chandelier For Bedroom Dining Room Hallway AC  ,"
				Rs34,197
			",https://li2.rightinthebox.com/images/384x384/201801/lqmb1515983873112.jpg,"Suggested Room Size:, 10-15㎡,Bulb Included or Not:, Bulb Included,Bulb Base:, GU10"
#02123716,"Women's Geometric Fashion European Multi Layer Sequins Chain Necklace Layered Necklace Alloy Chain Necklace Layered Necklace , Daily  ","
				Rs132
			",https://li7.rightinthebox.com/images/384x384/201410/wusdee1413179886364.jpg,"Season:, Summer"
#00221796,"Contemporary Centerset Waterfall Ceramic Valve One Hole Single Handle One Hole Chrome, Bathroom Sink Faucet  ","
				Rs3,843
			",https://li1.rightinthebox.com/images/384x384/201801/rtag1517379446361.jpg,"Installation Type:, Centerset,Installation Holes and Handles:, Single Handle One Hole,Faucet Body Material:, Brass"
#05746975,"Women's Going out Plus Size Casual Loose Dress,Floral Round Neck Maxi Cotton Summer Mid Rise Inelastic Medium  ","
				Rs1,295
			",,"Fabric:, Cotton,Dress Length:, Maxi,Special Size:, Plus Size,2018 Trends:, Floral Patterns"
